"﻿Record#","FName","Lname","Date of Birth","Gender","Education","House#","Address1","Address2","City","Pincode","Mobile#","Company","MonthlySalary"
"421","FName421","LName421","18-10-1998","Male","B.Tech","521","Street5","Kingpin Apts","Bangalore","560102","9003424668","Infosys","30065.17"
"422","FName422","LName422","19-10-1998","Male","M.Tech","522","Street4","Shoba Lake Apts","Pune","600001","9003424672","Apple","66605.21"
"423","FName423","LName423","20-10-1998","Female","BBA","523","Street3","Brigade Towers","Mumbai","400001","9003424679","Microsoft","107874.19"
"424","FName424","LName424","21-10-1998","Female","BE","524","Street2","Prestige Lake City","Hyderabad","560102","9003424685","Google","112440.76"
"425","FName425","LName425","22-10-1998","Female","B.Com","525","Street1","ABC Building","Chennai","560102","9003424686","Intel","62807.94"
"426","FName426","LName426","23-10-1998","Male","B.Sc","526","Street3","Brigade Towers","Mumbai","400001","9003424690","Microsoft","48827.68"
"427","FName427","LName427","24-10-1998","Female","BCA","527","Street5","Kingpin Apts","Bangalore","560102","9003424698","Infosys","48821.79"
"428","FName428","LName428","25-10-1998","Female","MCA","528","Street2","Prestige Lake City","Hyderabad","560102","9003424699","Google","111030.74"
"429","FName429","LName429","26-10-1998","Male","MBA","529","Street3","Brigade Towers","Mumbai","400001","9003424706","Microsoft","50971.2"
"430","FName430","LName430","27-10-1998","Female","B.Tech","530","Street1","ABC Building","Chennai","560102","9003424713","Intel","43063.33"
"431","FName431","LName431","28-10-1998","Male","M.Tech","531","Street5","Kingpin Apts","Bangalore","560102","9003424720","Infosys","27172.34"
"432","FName432","LName432","29-10-1998","Male","BBA","532","Street2","Prestige Lake City","Hyderabad","560102","9003424720","Google","102930.99"
"433","FName433","LName433","30-10-1998","Female","BE","533","Street5","Kingpin Apts","Bangalore","560102","9003424721","Infosys","17056.57"
"434","FName434","LName434","31-10-1998","Female","B.Com","534","Street4","Shoba Lake Apts","Pune","600001","9003424729","Apple","105579.43"
"435","FName435","LName435","1/11/1998","Female","B.Sc","535","Street1","ABC Building","Chennai","560102","9003424732","Intel","76012.96"
"436","FName436","LName436","2/11/1998","Male","BCA","536","Street2","Prestige Lake City","Hyderabad","560102","9003424738","Google","90211.91"
"437","FName437","LName437","3/11/1998","Female","MCA","537","Street5","Kingpin Apts","Bangalore","560102","9003424744","Infosys","42135.09"
"438","FName438","LName438","4/11/1998","Female","MBA","538","Street3","Brigade Towers","Mumbai","400001","9003424747","Microsoft","104527.64"
"439","FName439","LName439","5/11/1998","Male","B.Tech","539","Street5","Kingpin Apts","Bangalore","560102","9003424748","Infosys","1534.93"
"440","FName440","LName440","6/11/1998","Female","M.Tech","540","Street1","ABC Building","Chennai","560102","9003424756","Intel","49550.6"
"441","FName441","LName441","7/11/1998","Male","BBA","541","Street3","Brigade Towers","Mumbai","400001","9003424764","Microsoft","76685.06"
"442","FName442","LName442","8/11/1998","Male","BE","542","Street4","Shoba Lake Apts","Pune","600001","9003424769","Apple","26570.72"
"443","FName443","LName443","9/11/1998","Female","B.Com","543","Street5","Kingpin Apts","Bangalore","560102","9003424775","Infosys","46693.51"
"444","FName444","LName444","10/11/1998","Female","B.Sc","544","Street2","Prestige Lake City","Hyderabad","560102","9003424778","Google","105386.47"
"445","FName445","LName445","11/11/1998","Female","BCA","545","Street1","ABC Building","Chennai","560102","9003424781","Intel","79987.78"
"446","FName446","LName446","12/11/1998","Male","MCA","546","Street4","Shoba Lake Apts","Pune","600001","9003424790","Apple","53033.27"
"447","FName447","LName447","13-11-1998","Female","MBA","547","Street3","Brigade Towers","Mumbai","400001","9003424792","Microsoft","36259.22"
"448","FName448","LName448","14-11-1998","Female","B.Tech","548","Street2","Prestige Lake City","Hyderabad","560102","9003424795","Google","44769.34"
"449","FName449","LName449","15-11-1998","Male","M.Tech","549","Street5","Kingpin Apts","Bangalore","560102","9003424801","Infosys","36922.98"
"450","FName450","LName450","16-11-1998","Female","BBA","550","Street1","ABC Building","Chennai","560102","9003424807","Intel","28531.87"
"451","FName451","LName451","17-11-1998","Male","BE","551","Street5","Kingpin Apts","Bangalore","560102","9003424813","Infosys","39253.09"
"452","FName452","LName452","18-11-1998","Male","B.Com","552","Street2","Prestige Lake City","Hyderabad","560102","9003424821","Google","100884.58"
"453","FName453","LName453","19-11-1998","Female","B.Sc","553","Street3","Brigade Towers","Mumbai","400001","9003424828","Microsoft","3093.54"
"454","FName454","LName454","20-11-1998","Female","BCA","554","Street4","Shoba Lake Apts","Pune","600001","9003424832","Apple","23223.63"
"455","FName455","LName455","21-11-1998","Female","MCA","555","Street1","ABC Building","Chennai","560102","9003424839","Intel","30497.23"
"456","FName456","LName456","22-11-1998","Male","MBA","556","Street2","Prestige Lake City","Hyderabad","560102","9003424841","Google","51349.26"
"457","FName457","LName457","23-11-1998","Female","B.Tech","557","Street5","Kingpin Apts","Bangalore","560102","9003424850","Infosys","7878.12"
"458","FName458","LName458","24-11-1998","Female","M.Tech","558","Street4","Shoba Lake Apts","Pune","600001","9003424852","Apple","37671.36"
"459","FName459","LName459","25-11-1998","Male","BBA","559","Street3","Brigade Towers","Mumbai","400001","9003424854","Microsoft","81772.71"
"460","FName460","LName460","26-11-1998","Female","BE","560","Street1","ABC Building","Chennai","560102","9003424854","Intel","57211.77"
"462","FName462","LName462","28-11-1998","Male","B.Sc","562","Street3","Brigade Towers","Mumbai","400001","9003424862","Microsoft","15850.71"
"463","FName463","LName463","29-11-1998","Female","BCA","563","Street5","Kingpin Apts","Bangalore","560102","9003424870","Infosys","40025.39"
"464","FName464","LName464","30-11-1998","Female","MCA","564","Street2","Prestige Lake City","Hyderabad","560102","9003424879","Google","80726.21"
"465","FName465","LName465","1/12/1998","Female","MBA","565","Street1","ABC Building","Chennai","560102","9003424889","Intel","67810.47"
"466","FName466","LName466","2/12/1998","Male","B.Tech","566","Street4","Shoba Lake Apts","Pune","600001","9003424892","Apple","96244.32"
"467","FName467","LName467","3/12/1998","Female","M.Tech","567","Street5","Kingpin Apts","Bangalore","560102","9003424895","Infosys","37702.18"
"468","FName468","LName468","4/12/1998","Female","BBA","568","Street2","Prestige Lake City","Hyderabad","560102","9003424896","Google","110316.48"
"469","FName469","LName469","5/12/1998","Male","BE","569","Street5","Kingpin Apts","Bangalore","560102","9003424900","Infosys","20941.45"
"470","FName470","LName470","6/12/1998","Female","B.Com","570","Street1","ABC Building","Chennai","560102","9003424903","Intel","40110.68"
"471","FName471","LName471","7/12/1998","Male","B.Sc","571","Street3","Brigade Towers","Mumbai","400001","9003424909","Microsoft","76642.84"
"472","FName472","LName472","8/12/1998","Male","BCA","572","Street2","Prestige Lake City","Hyderabad","560102","9003424918","Google","92251.34"
"473","FName473","LName473","9/12/1998","Female","MCA","573","Street5","Kingpin Apts","Bangalore","560102","9003424921","Infosys","43815.78"
"474","FName474","LName474","10/12/1998","Female","MBA","574","Street3","Brigade Towers","Mumbai","400001","9003424928","Microsoft","66714.46"
"475","FName475","LName475","11/12/1998","Female","B.Tech","575","Street1","ABC Building","Chennai","560102","9003424932","Intel","85158.34"
"476","FName476","LName476","12/12/1998","Male","M.Tech","576","Street2","Prestige Lake City","Hyderabad","560102","9003424942","Google","73477.95"
"477","FName477","LName477","13-12-1998","Female","BBA","577","Street3","Brigade Towers","Mumbai","400001","9003424944","Microsoft","78608.05"
"478","FName478","LName478","14-12-1998","Female","BE","578","Street4","Shoba Lake Apts","Pune","600001","9003424951","Apple","117931.34"
"479","FName479","LName479","15-12-1998","Male","B.Com","579","Street5","Kingpin Apts","Bangalore","560102","9003424958","Infosys","7560.09"
"480","FName480","LName480","16-12-1998","Female","B.Sc","580","Street1","ABC Building","Chennai","560102","9003424960","Intel","15911.19"
"481","FName481","LName481","17-12-1998","Male","BCA","581","Street5","Kingpin Apts","Bangalore","560102","9003424960","Infosys","34180.31"
"482","FName482","LName482","18-12-1998","Male","MCA","582","Street4","Shoba Lake Apts","Pune","600001","9003424963","Apple","117613.39"
"483","FName483","LName483","19-12-1998","Female","MBA","583","Street3","Brigade Towers","Mumbai","400001","9003424971","Microsoft","39504.24"
"484","FName484","LName484","20-12-1998","Female","B.Tech","584","Street2","Prestige Lake City","Hyderabad","560102","9003424972","Google","48671.9"
"485","FName485","LName485","21-12-1998","Female","M.Tech","585","Street1","ABC Building","Chennai","560102","9003424977","Intel","9072.96"
"486","FName486","LName486","22-12-1998","Male","BBA","586","Street3","Brigade Towers","Mumbai","400001","9003424979","Microsoft","80523.87"
"487","FName487","LName487","23-12-1998","Female","BE","587","Street5","Kingpin Apts","Bangalore","560102","9003424986","Infosys","29765.75"
"488","FName488","LName488","24-12-1998","Female","B.Com","588","Street2","Prestige Lake City","Hyderabad","560102","9003424995","Google","104183.17"
"489","FName489","LName489","25-12-1998","Male","B.Sc","589","Street3","Brigade Towers","Mumbai","400001","9003424996","Microsoft","40043.29"
"490","FName490","LName490","26-12-1998","Female","BCA","590","Street1","ABC Building","Chennai","560102","9003425004","Intel","41090.48"
"491","FName491","LName491","27-12-1998","Male","MCA","591","Street5","Kingpin Apts","Bangalore","560102","9003425006","Infosys","1285.11"
"492","FName492","LName492","28-12-1998","Male","MBA","592","Street2","Prestige Lake City","Hyderabad","560102","9003425013","Google","81536.77"
"493","FName493","LName493","29-12-1998","Female","B.Tech","593","Street5","Kingpin Apts","Bangalore","560102","9003425016","Infosys","28249.48"
"494","FName494","LName494","30-12-1998","Female","M.Tech","594","Street4","Shoba Lake Apts","Pune","600001","9003425018","Apple","62407.14"
"495","FName495","LName495","31-12-1998","Female","BBA","595","Street1","ABC Building","Chennai","560102","9003425027","Intel","36653.44"
"496","FName496","LName496","1/1/1999","Male","BE","596","Street2","Prestige Lake City","Hyderabad","560102","9003425031","Google","13093.72"
"497","FName497","LName497","2/1/1999","Female","B.Com","597","Street5","Kingpin Apts","Bangalore","560102","9003425036","Infosys","27719.47"
"498","FName498","LName498","3/1/1999","Female","B.Sc","598","Street3","Brigade Towers","Mumbai","400001","9003425046","Microsoft","57489.25"
"499","FName499","LName499","4/1/1999","Male","BCA","599","Street5","Kingpin Apts","Bangalore","560102","9003425055","Infosys","38509.55"
"500","FName500","LName500","5/1/1999","Female","MCA","600","Street1","ABC Building","Chennai","560102","9003425063","Intel","13367.38"
"501","FName501","LName501","6/1/1999","Male","MBA","601","Street3","Brigade Towers","Mumbai","400001","9003425066","Microsoft","36151.36"
"502","FName502","LName502","7/1/1999","Male","B.Tech","602","Street4","Shoba Lake Apts","Pune","600001","9003425070","Apple","4340.22"
"503","FName503","LName503","8/1/1999","Female","M.Tech","603","Street5","Kingpin Apts","Bangalore","560102","9003425072","Infosys","11548.9"
"504","FName504","LName504","9/1/1999","Female","BBA","604","Street2","Prestige Lake City","Hyderabad","560102","9003425079","Google","74644.3"
"505","FName505","LName505","10/1/1999","Female","BE","605","Street1","ABC Building","Chennai","560102","9003425083","Intel","65219.79"
"506","FName506","LName506","11/1/1999","Male","B.Com","606","Street4","Shoba Lake Apts","Pune","600001","9003425093","Apple","40012.97"
"507","FName507","LName507","12/1/1999","Female","B.Sc","607","Street3","Brigade Towers","Mumbai","400001","9003425095","Microsoft","58188.93"
"508","FName508","LName508","13-01-1999","Female","BCA","608","Street2","Prestige Lake City","Hyderabad","560102","9003425098","Google","18320.78"
"509","FName509","LName509","14-01-1999","Male","MCA","609","Street5","Kingpin Apts","Bangalore","560102","9003425099","Infosys","8677.48"
"510","FName510","LName510","15-01-1999","Female","MBA","610","Street1","ABC Building","Chennai","560102","9003425102","Intel","66330.85"
"511","FName511","LName511","16-01-1999","Male","B.Tech","611","Street5","Kingpin Apts","Bangalore","560102","9003425107","Infosys","18232.11"
"512","FName512","LName512","17-01-1999","Male","M.Tech","612","Street2","Prestige Lake City","Hyderabad","560102","9003425116","Google","39386.38"
"513","FName513","LName513","18-01-1999","Female","BBA","613","Street3","Brigade Towers","Mumbai","400001","9003425117","Microsoft","46249.89"
"514","FName514","LName514","19-01-1999","Female","BE","614","Street4","Shoba Lake Apts","Pune","600001","9003425126","Apple","104095.75"
"515","FName515","LName515","20-01-1999","Female","B.Com","615","Street1","ABC Building","Chennai","560102","9003425127","Intel","11378.45"
"516","FName516","LName516","21-01-1999","Male","B.Sc","616","Street2","Prestige Lake City","Hyderabad","560102","9003425131","Google","70122.18"
"517","FName517","LName517","22-01-1999","Female","BCA","617","Street5","Kingpin Apts","Bangalore","560102","9003425138","Infosys","37399.2"
"518","FName518","LName518","23-01-1999","Female","MCA","618","Street4","Shoba Lake Apts","Pune","600001","9003425142","Apple","15974.48"
"519","FName519","LName519","24-01-1999","Male","MBA","619","Street3","Brigade Towers","Mumbai","400001","9003425145","Microsoft","86923.24"
"520","FName520","LName520","25-01-1999","Female","B.Tech","620","Street1","ABC Building","Chennai","560102","9003425146","Intel","18724.96"
"521","FName521","LName521","26-01-1999","Male","M.Tech","621","Street5","Kingpin Apts","Bangalore","560102","9003425152","Infosys","43300.56"
"522","FName522","LName522","27-01-1999","Male","BBA","622","Street3","Brigade Towers","Mumbai","400001","9003425155","Microsoft","7530.77"
"523","FName523","LName523","28-01-1999","Female","BE","623","Street5","Kingpin Apts","Bangalore","560102","9003425156","Infosys","14794.48"
"524","FName524","LName524","29-01-1999","Female","B.Com","624","Street2","Prestige Lake City","Hyderabad","560102","9003425158","Google","129914.93"
"525","FName525","LName525","30-01-1999","Female","B.Sc","625","Street1","ABC Building","Chennai","560102","9003425162","Intel","1213.59"
"526","FName526","LName526","31-01-1999","Male","BCA","626","Street4","Shoba Lake Apts","Pune","600001","9003425163","Apple","15256.34"
"527","FName527","LName527","1/2/1999","Female","MCA","627","Street5","Kingpin Apts","Bangalore","560102","9003425172","Infosys","12691.07"
"528","FName528","LName528","2/2/1999","Female","MBA","628","Street2","Prestige Lake City","Hyderabad","560102","9003425174","Google","101292.13"
"529","FName529","LName529","3/2/1999","Male","B.Tech","629","Street5","Kingpin Apts","Bangalore","560102","9003425183","Infosys","6550.67"
"530","FName530","LName530","4/2/1999","Female","M.Tech","630","Street1","ABC Building","Chennai","560102","9003425188","Intel","7545.89"
"531","FName531","LName531","5/2/1999","Male","BBA","631","Street3","Brigade Towers","Mumbai","400001","9003425197","Microsoft","76537.41"
"532","FName532","LName532","6/2/1999","Male","BE","632","Street2","Prestige Lake City","Hyderabad","560102","9003425206","Google","68707.41"
"533","FName533","LName533","7/2/1999","Female","B.Com","633","Street5","Kingpin Apts","Bangalore","560102","9003425215","Infosys","9350.18"
"534","FName534","LName534","8/2/1999","Female","B.Sc","634","Street3","Brigade Towers","Mumbai","400001","9003425220","Microsoft","29104.83"
"535","FName535","LName535","9/2/1999","Female","BCA","635","Street1","ABC Building","Chennai","560102","9003425225","Intel","84188.6"
"536","FName536","LName536","10/2/1999","Male","MCA","636","Street2","Prestige Lake City","Hyderabad","560102","9003425233","Google","62581.7"
"537","FName537","LName537","11/2/1999","Female","MBA","637","Street3","Brigade Towers","Mumbai","400001","9003425233","Microsoft","46513.38"
"538","FName538","LName538","12/2/1999","Female","B.Tech","638","Street4","Shoba Lake Apts","Pune","600001","9003425238","Apple","19446.78"
"539","FName539","LName539","13-02-1999","Male","M.Tech","639","Street5","Kingpin Apts","Bangalore","560102","9003425242","Infosys","28884.71"
"540","FName540","LName540","14-02-1999","Female","BBA","640","Street1","ABC Building","Chennai","560102","9003425248","Intel","24140.03"
"541","FName541","LName541","15-02-1999","Male","BE","641","Street5","Kingpin Apts","Bangalore","560102","9003425248","Infosys","3537.88"
"542","FName542","LName542","16-02-1999","Male","B.Com","642","Street4","Shoba Lake Apts","Pune","600001","9003425252","Apple","17304.46"
"543","FName543","LName543","17-02-1999","Female","B.Sc","643","Street3","Brigade Towers","Mumbai","400001","9003425262","Microsoft","11317.81"
"544","FName544","LName544","18-02-1999","Female","BCA","644","Street2","Prestige Lake City","Hyderabad","560102","9003425267","Google","60839.29"
"545","FName545","LName545","19-02-1999","Female","MCA","645","Street1","ABC Building","Chennai","560102","9003425274","Intel","46112.39"
"546","FName546","LName546","20-02-1999","Male","MBA","646","Street3","Brigade Towers","Mumbai","400001","9003425281","Microsoft","12963.49"
"547","FName547","LName547","21-02-1999","Female","B.Tech","647","Street5","Kingpin Apts","Bangalore","560102","9003425288","Infosys","49501.5"
"548","FName548","LName548","22-02-1999","Female","M.Tech","648","Street2","Prestige Lake City","Hyderabad","560102","9003425295","Google","27021.26"
"549","FName549","LName549","23-02-1999","Male","BBA","649","Street3","Brigade Towers","Mumbai","400001","9003425300","Microsoft","66178.96"
"550","FName550","LName550","24-02-1999","Female","BE","650","Street1","ABC Building","Chennai","560102","9003425307","Intel","29410.13"
"551","FName551","LName551","25-02-1999","Male","B.Com","651","Street5","Kingpin Apts","Bangalore","560102","9003425307","Infosys","14594.66"
"552","FName552","LName552","26-02-1999","Male","B.Sc","652","Street2","Prestige Lake City","Hyderabad","560102","9003425312","Google","53855.36"
"553","FName553","LName553","27-02-1999","Female","BCA","653","Street5","Kingpin Apts","Bangalore","560102","9003425312","Infosys","18951.55"
"554","FName554","LName554","28-02-1999","Female","MCA","654","Street4","Shoba Lake Apts","Pune","600001","9003425315","Apple","19631.91"
"555","FName555","LName555","1/3/1999","Female","MBA","655","Street1","ABC Building","Chennai","560102","9003425319","Intel","39137.45"
"556","FName556","LName556","2/3/1999","Male","B.Tech","656","Street2","Prestige Lake City","Hyderabad","560102","9003425329","Google","30440.91"
"557","FName557","LName557","3/3/1999","Female","M.Tech","657","Street5","Kingpin Apts","Bangalore","560102","9003425330","Infosys","44739.02"
"558","FName558","LName558","4/3/1999","Female","BBA","658","Street3","Brigade Towers","Mumbai","400001","9003425337","Microsoft","15133.16"
"559","FName559","LName559","5/3/1999","Male","BE","659","Street5","Kingpin Apts","Bangalore","560102","9003425338","Infosys","24014.6"
"560","FName560","LName560","6/3/1999","Female","B.Com","660","Street1","ABC Building","Chennai","560102","9003425344","Intel","48287.95"
"561","FName561","LName561","7/3/1999","Male","B.Sc","661","Street3","Brigade Towers","Mumbai","400001","9003425345","Microsoft","82341.83"
"562","FName562","LName562","8/3/1999","Male","BCA","662","Street4","Shoba Lake Apts","Pune","600001","9003425349","Apple","62591.52"
"563","FName563","LName563","9/3/1999","Female","MCA","663","Street5","Kingpin Apts","Bangalore","560102","9003425355","Infosys","36474.09"
"564","FName564","LName564","10/3/1999","Female","MBA","664","Street2","Prestige Lake City","Hyderabad","560102","9003425361","Google","18247.57"
"565","FName565","LName565","11/3/1999","Female","B.Tech","665","Street1","ABC Building","Chennai","560102","9003425368","Intel","54013.76"
"566","FName566","LName566","12/3/1999","Male","M.Tech","666","Street4","Shoba Lake Apts","Pune","600001","9003425375","Apple","81766.49"
"567","FName567","LName567","13-03-1999","Female","BBA","667","Street3","Brigade Towers","Mumbai","400001","9003425378","Microsoft","63745.97"
"568","FName568","LName568","14-03-1999","Female","BE","668","Street2","Prestige Lake City","Hyderabad","560102","9003425379","Google","115136.78"
"569","FName569","LName569","15-03-1999","Male","B.Com","669","Street5","Kingpin Apts","Bangalore","560102","9003425389","Infosys","19462.55"
"570","FName570","LName570","16-03-1999","Female","B.Sc","670","Street1","ABC Building","Chennai","560102","9003425398","Intel","16964.01"
"571","FName571","LName571","17-03-1999","Male","BCA","671","Street5","Kingpin Apts","Bangalore","560102","9003425402","Infosys","19338.23"
"572","FName572","LName572","18-03-1999","Male","MCA","672","Street2","Prestige Lake City","Hyderabad","560102","9003425412","Google","106753"
"573","FName573","LName573","19-03-1999","Female","MBA","673","Street3","Brigade Towers","Mumbai","400001","9003425418","Microsoft","18577.3"
"574","FName574","LName574","20-03-1999","Female","B.Tech","674","Street4","Shoba Lake Apts","Pune","600001","9003425421","Apple","76839.99"
"575","FName575","LName575","21-03-1999","Female","M.Tech","675","Street1","ABC Building","Chennai","560102","9003425426","Intel","18938.18"
"576","FName576","LName576","22-03-1999","Male","BBA","676","Street2","Prestige Lake City","Hyderabad","560102","9003425426","Google","99749.34"
"577","FName577","LName577","23-03-1999","Female","BE","677","Street5","Kingpin Apts","Bangalore","560102","9003425429","Infosys","29554.31"
"578","FName578","LName578","24-03-1999","Female","B.Com","678","Street4","Shoba Lake Apts","Pune","600001","9003425435","Apple","42986.6"
"579","FName579","LName579","25-03-1999","Male","B.Sc","679","Street3","Brigade Towers","Mumbai","400001","9003425443","Microsoft","83260.41"
"580","FName580","LName580","26-03-1999","Female","BCA","680","Street1","ABC Building","Chennai","560102","9003425447","Intel","45601.68"
"581","FName581","LName581","27-03-1999","Male","MCA","681","Street5","Kingpin Apts","Bangalore","560102","9003425454","Infosys","20208.07"
"582","FName582","LName582","28-03-1999","Male","MBA","682","Street3","Brigade Towers","Mumbai","400001","9003425458","Microsoft","47048.16"
"583","FName583","LName583","29-03-1999","Female","B.Tech","683","Street5","Kingpin Apts","Bangalore","560102","9003425464","Infosys","34565.22"
"584","FName584","LName584","30-03-1999","Female","M.Tech","684","Street2","Prestige Lake City","Hyderabad","560102","9003425466","Google","24403.3"
"585","FName585","LName585","31-03-1999","Female","BBA","685","Street1","ABC Building","Chennai","560102","9003425467","Intel","14942.9"
"586","FName586","LName586","1/4/1999","Male","BE","686","Street4","Shoba Lake Apts","Pune","600001","9003425468","Apple","46335.75"
"587","FName587","LName587","2/4/1999","Female","B.Com","687","Street5","Kingpin Apts","Bangalore","560102","9003425473","Infosys","4757.49"
"588","FName588","LName588","3/4/1999","Female","B.Sc","688","Street2","Prestige Lake City","Hyderabad","560102","9003425476","Google","125838.95"
"589","FName589","LName589","4/4/1999","Male","BCA","689","Street5","Kingpin Apts","Bangalore","560102","9003425479","Infosys","31223.11"
"590","FName590","LName590","5/4/1999","Female","MCA","690","Street1","ABC Building","Chennai","560102","9003425488","Intel","54167.5"
"591","FName591","LName591","6/4/1999","Male","MBA","691","Street3","Brigade Towers","Mumbai","400001","9003425495","Microsoft","65605.85"
"592","FName592","LName592","7/4/1999","Male","B.Tech","692","Street2","Prestige Lake City","Hyderabad","560102","9003425501","Google","93712.79"
"593","FName593","LName593","8/4/1999","Female","M.Tech","693","Street5","Kingpin Apts","Bangalore","560102","9003425505","Infosys","37220.7"
"594","FName594","LName594","9/4/1999","Female","BBA","694","Street3","Brigade Towers","Mumbai","400001","9003425506","Microsoft","45816.18"
"595","FName595","LName595","10/4/1999","Female","BE","695","Street1","ABC Building","Chennai","560102","9003425513","Intel","78259.51"
"596","FName596","LName596","11/4/1999","Male","B.Com","696","Street2","Prestige Lake City","Hyderabad","560102","9003425519","Google","108867"
"597","FName597","LName597","12/4/1999","Female","B.Sc","697","Street3","Brigade Towers","Mumbai","400001","9003425524","Microsoft","45895.87"
"598","FName598","LName598","13-04-1999","Female","BCA","698","Street4","Shoba Lake Apts","Pune","600001","9003425532","Apple","22039.71"
"599","FName599","LName599","14-04-1999","Male","MCA","699","Street5","Kingpin Apts","Bangalore","560102","9003425532","Infosys","36269.07"
"600","FName600","LName600","15-04-1999","Female","MBA","700","Street1","ABC Building","Chennai","560102","9003425534","Intel","30977.63"
"601","FName601","LName601","16-04-1999","Male","B.Tech","701","Street5","Kingpin Apts","Bangalore","560102","9003425539","Infosys","35266.26"
"602","FName602","LName602","17-04-1999","Male","M.Tech","702","Street4","Shoba Lake Apts","Pune","600001","9003425540","Apple","46108.51"
"603","FName603","LName603","18-04-1999","Female","BBA","703","Street3","Brigade Towers","Mumbai","400001","9003425543","Microsoft","91981.27"
"604","FName604","LName604","19-04-1999","Female","BE","704","Street2","Prestige Lake City","Hyderabad","560102","9003425546","Google","9519.99"
"605","FName605","LName605","20-04-1999","Female","B.Com","705","Street1","ABC Building","Chennai","560102","9003425547","Intel","56459.22"
"606","FName606","LName606","21-04-1999","Male","B.Sc","706","Street3","Brigade Towers","Mumbai","400001","9003425549","Microsoft","63293.24"
"607","FName607","LName607","22-04-1999","Female","BCA","707","Street5","Kingpin Apts","Bangalore","560102","9003425550","Infosys","38369.71"
"608","FName608","LName608","23-04-1999","Female","MCA","708","Street2","Prestige Lake City","Hyderabad","560102","9003425558","Google","15604.59"
"609","FName609","LName609","24-04-1999","Male","MBA","709","Street3","Brigade Towers","Mumbai","400001","9003425563","Microsoft","22890.06"
"610","FName610","LName610","25-04-1999","Female","B.Tech","710","Street1","ABC Building","Chennai","560102","9003425568","Intel","64086.26"
"611","FName611","LName611","26-04-1999","Male","M.Tech","711","Street5","Kingpin Apts","Bangalore","560102","9003425573","Infosys","15925.21"
"612","FName612","LName612","27-04-1999","Male","BBA","712","Street2","Prestige Lake City","Hyderabad","560102","9003425577","Google","44746.89"
"613","FName613","LName613","28-04-1999","Female","BE","713","Street5","Kingpin Apts","Bangalore","560102","9003425583","Infosys","6340.35"
"614","FName614","LName614","29-04-1999","Female","B.Com","714","Street4","Shoba Lake Apts","Pune","600001","9003425591","Apple","113459.86"
"615","FName615","LName615","30-04-1999","Female","B.Sc","715","Street1","ABC Building","Chennai","560102","9003425592","Intel","14475.75"
"616","FName616","LName616","1/5/1999","Male","BCA","716","Street2","Prestige Lake City","Hyderabad","560102","9003425599","Google","74302.7"
"617","FName617","LName617","2/5/1999","Female","MCA","717","Street5","Kingpin Apts","Bangalore","560102","9003425604","Infosys","10104.54"
"618","FName618","LName618","3/5/1999","Female","MBA","718","Street3","Brigade Towers","Mumbai","400001","9003425607","Microsoft","101794.34"
"619","FName619","LName619","4/5/1999","Male","B.Tech","719","Street5","Kingpin Apts","Bangalore","560102","9003425612","Infosys","30155.99"
"620","FName620","LName620","5/5/1999","Female","M.Tech","720","Street1","ABC Building","Chennai","560102","9003425622","Intel","33110.81"
"621","FName621","LName621","6/5/1999","Male","BBA","721","Street3","Brigade Towers","Mumbai","400001","9003425629","Microsoft","78264.8"
"622","FName622","LName622","7/5/1999","Male","BE","722","Street4","Shoba Lake Apts","Pune","600001","9003425630","Apple","84648.81"
"623","FName623","LName623","8/5/1999","Female","B.Com","723","Street5","Kingpin Apts","Bangalore","560102","9003425640","Infosys","21259.72"
"624","FName624","LName624","9/5/1999","Female","B.Sc","724","Street2","Prestige Lake City","Hyderabad","560102","9003425640","Google","113746.91"
"625","FName625","LName625","10/5/1999","Female","BCA","725","Street1","ABC Building","Chennai","560102","9003425648","Intel","20900.44"
"626","FName626","LName626","11/5/1999","Male","MCA","726","Street4","Shoba Lake Apts","Pune","600001","9003425657","Apple","111854.51"
"627","FName627","LName627","12/5/1999","Female","MBA","727","Street3","Brigade Towers","Mumbai","400001","9003425665","Microsoft","86895.61"
"628","FName628","LName628","13-05-1999","Female","B.Tech","728","Street2","Prestige Lake City","Hyderabad","560102","9003425669","Google","45976.01"
"629","FName629","LName629","14-05-1999","Male","M.Tech","729","Street5","Kingpin Apts","Bangalore","560102","9003425676","Infosys","45003.16"
"630","FName630","LName630","15-05-1999","Female","BBA","730","Street1","ABC Building","Chennai","560102","9003425681","Intel","7050.83"
"631","FName631","LName631","16-05-1999","Male","BE","731","Street5","Kingpin Apts","Bangalore","560102","9003425687","Infosys","43785.14"
"632","FName632","LName632","17-05-1999","Male","B.Com","732","Street2","Prestige Lake City","Hyderabad","560102","9003425687","Google","114680.09"
"633","FName633","LName633","18-05-1999","Female","B.Sc","733","Street3","Brigade Towers","Mumbai","400001","9003425695","Microsoft","109883.86"
"634","FName634","LName634","19-05-1999","Female","BCA","734","Street4","Shoba Lake Apts","Pune","600001","9003425702","Apple","5000.17"
"635","FName635","LName635","20-05-1999","Female","MCA","735","Street1","ABC Building","Chennai","560102","9003425704","Intel","47249.38"
"636","FName636","LName636","21-05-1999","Male","MBA","736","Street2","Prestige Lake City","Hyderabad","560102","9003425711","Google","50440.83"
"637","FName637","LName637","22-05-1999","Female","B.Tech","737","Street5","Kingpin Apts","Bangalore","560102","9003425715","Infosys","42563.47"
